# Pore network output format: 
num_nodes & num_node_metrics ; names of columns ; [num_nodes x num_node_metrics] array; num_edges & num_edge_metrics ; names of columns ; [num_edges x num_edge_metrics] array
6130 5
x y z void_volume solid_volume surface location n_cells
134.425 162.147 153.252	391	730	220.618	middle	1
201.55 157.702 142.222	354	725	216.23	middle	1
108.585 270.008 284.325	428	717	222.801	middle	1
130.824 138.108 104.612	629	668	227.933	middle	2
210.088 117.517 177.062	430	699	211.028	bottom	1
274.803 261.567 160.792	283	701	206.498	middle	1
132.89 110.604 132.873	657	698	217.747	bottom	1
142.675 120.69 166.005	327	744	220.12	middle	1
220.912 151.507 258.28	356	718	214.796	middle	1
146.105 120.635 251.915	331	734	217.384	bottom	1
121.047 114.025 124.405	319	717	216.055	bottom	1
170.027 177.818 121.482	2188	2198	656.67	middle	3
168.64 122.205 167.19	394	717	217.864	middle	1
120.487 115.62 197.727	398	746	222.041	bottom	1
226.1 143.325 170.315	327	622	181.808	middle	1
298.812 281.108 161.92	233	731	220.418	middle	1
125.303 131.803 131.043	289	733	216.745	middle	1
166.863 248.505 193.552	345	717	217.04	middle	1
157.29 171.523 115.705	301	722	218.175	middle	1
267.475 102.545 218.377	87	405	224.9	bottom	1
132.048 113.103 212.91	306	438	130.823	bottom	1
181.537 202.135 132.835	1801	2078	619.409	middle	3
196.593 130.352 209.93	458	683	204.564	middle	1
189.53 150.19 138.125	427	453	135.572	middle	1
109.179 143.737 131.35	388	717	223.384	middle	1
170.375 116.668 134.433	551	713	212.702	bottom	1
137.048 132.257 127.602	222	645	189.629	middle	1
145.648 159.613 217.73	338	731	218.773	middle	1
125.787 168.868 190.148	542	583	174.409	middle	1
221.398 294.283 191.037	190	194	57.4086	top	1
225.31 296.165 193.517	669	523	156.855	top	1
165.275 186.852 107.154	764	537	192.756	middle	1
156.762 121.255 117.567	361	634	191.156	middle	1
139.952 112.359 128	323	457	139.093	bottom	1
124.232 112.886 145.572	1251	1467	448.632	bottom	2
120.707 126.228 170.809	5609	5470	1632.31	bottom	8
118.64 120.845 126.037	351	495	149.004	bottom	1
205.92 139.3 247.815	433	583	174.182	middle	1
121.157 119.02 116.83	581	702	208.181	bottom	1
120.742 132.12 242.425	490	610	182.313	middle	1
115.994 237.734 150.4	1275	1232	369.776	middle	2
133.295 181.09 274.34	483	498	150.823	middle	1
103.166 130.918 191.73	84	315	145.99	middle	1
129.285 295.45 201.95	230	733	220.496	middle	1
125.233 130.028 117.035	278	615	184.718	middle	1
307.747 257.34 278.677	294	336	222.93	middle	1
149.88 145.782 206.53	1723	1966	586.267	middle	3
213.914 155.891 135.835	3321	3707	1109.01	middle	5
279.865 299.42 129.958	445	693	206.585	top	1
111.963 161.13 157.978	356	725	218.94	middle	1
154.645 171.015 128.462	400	728	218.087	middle	1
131.703 167.037 140.353	225	233	68.9514	middle	1
159.665 162.882 109.863	825	699	227.152	middle	1
157.24 183.417 214.21	447	499	147.714	middle	1
257.058 194.65 135.227	327	735	220.881	middle	1
226.605 206.899 232.097	6237	6356	1899.59	middle	11
121.185 231.145 203.593	446	724	217.816	middle	1
107.705 246.775 141.317	278	352	105.361	middle	1
302.262 207.137 240.963	216	721	220.496	middle	1
162.963 128.368 249.098	251	749	220.496	bottom	1
140.838 109.523 207.327	417	725	219.564	bottom	1
263.43 242.925 153.087	351	626	187.523	middle	1
164.89 115.593 170.028	306	715	214.643	middle	1
148.112 288.372 212.697	288	740	218.863	middle	1
182.632 163.23 129.512	329	739	220.129	middle	1
192.088 143.405 211.27	1836	1919	574.974	middle	3
179.725 234.368 179.89	247	743	219.897	middle	1
187.575 250.188 220.097	501	717	214.528	middle	1
298.305 243.74 121.543	414	714	211.384	middle	1
177.693 219.748 203.153	281	717	215.471	middle	1
214.623 118.29 211.585	319	728	216.705	bottom	1
184.178 230.618 209.743	217	605	179.608	middle	1
136.748 113.23 261.503	588	674	196.649	bottom	1
185.74 167.562 161.017	471	688	210.425	middle	1
135.602 105.201 245.285	523	496	216.676	bottom	1
136.825 245.477 224.912	349	669	202.287	middle	1
122.998 156.955 150.45	550	723	215.596	middle	1
